prompt,completion
I am using RFEM 6 on an Apple Macintosh using Parallels Desktop. The axis cross is not displayed correctly in the graphic. How can this be corrected?,"Parallels Desktop provides a virtual machine on the Macintosh in which, for example, Windows 11 can be operated. RFEM 6 can also be installed in this virtual machine. The problem with the graphics representation points to a problem with OpenGL. Unfortunately, Parallels Desktop only supports the outdated OpenGL version 3.3. RFEM 6 requires at least OpenGL 4.2. The solution to the problem is to install the MESA drivers. RFEM is initially installed normally within the virtual machine. Then, in the virtual Windows environment, follow the instructions to enable the MESA software renderer from this FAQ: RFEM 6 should now run without any problems."
How can I use RFEM 6 / RSTAB 9 on an Apple Macintosh?,"RFEM 6 and RSTAB 9 is currently only available as a version for Microsoft Windows. Nevertheless, it is possible to run the Dlubal software on a modern Macintosh computer with an M1/M2 processor. We recommend using. Parallels Desktop is software that simulates virtual machines. A computer is represented by software in a virtual machine. Another guest operating system can run in such a virtual machine. To run RFEM / RSTAB on the Mac, we recommend installing Windows 11 as the guest operating system. Current Macs with M1/M2 processors require the Windows 11 version for ARM. Parallels Desktop immediately offers to install the appropriate operating system. In Parallels Desktop there is a so-called coherence mode. The individual Windows programs are then integrated into the macOS interface. In order to use the Dlubal software with Parallels Desktop, it is necessary to activate the MESA renderer. After installation, the resources for the virtual machine are quite economical. Only 8 GB of RAM is used for Windows. If slightly larger models are to be processed with RFEM / RSTAB, then the values should be increased. In order to be able to change the memory value, the virtual machine must first be shut down."
"Where can I find the working directory of RFEM 6, RSTAB 9 and RSECTION 1?","With the standard installation of the products RFEM 6, RSTAB 9 and RSECTION 1, the working directory is created under the following path: C:\Users\[your user name]\AppData\Local\Dlubal. Please note that the ""AppData"" folder is usually a hidden folder. This can also be reached by directly entering the path in Windows Explorer. The working directories of the individual programs are located in the corresponding subfolders. Here you will find, among other things, the local program configurations and the most recently used program instances."
Is the Tekla AddIn automatically installed in RFEM 6?,"No, the AddIn is not installed automatically. This means the user must have Tekla Structures and RFEM 6 installed on the computer. You then have to navigate to the following folder: * C:\Program Files\Dlubal\RFEM 6.02\tools\TeklaAddIn This contains the ""setup.exe"" file. This can now be executed simply by double-clicking. The Tekla AddIn installer opens. After completion, the addin is installed and the corresponding function is available in the Tekla ribbon. It should also be ensured that the server has been started in RFEM. This setting can be found in the RFEM menu ""Options"" under ""Program Options""."
How can I export or import an IFC file in RFEM 6 / RSTAB 9?,"File - Export and File - Import give you access to the commands for exporting and importing an IFC file. Version 4.0 is supported for import and export. The older version 2x3, however, only during import. Regardless of the direction in which you exchange data, the StructuralAnalysisView as well as the ReferenceView (Coordination View) can be processed."
How can parametric cross-sections be generated with a Python program?,"As with cross-sections from the library, this also works with the correct name. Here you can see a sample program that should generate this cross-section: Attention! You must enter the dimensions in cross-section names in SI basic units, i.e. in meters. from RFEM.initModel import Model from RFEM.BasicObjects.material import Material from RFEM.BasicObjects.section import Section Model(True, ""Section"") Model.clientModel.service.begin_modification() Model.clientModel.service.delete_all() Material(1, 'S235') Section(no=1, name='CHS 0.12/0.006/H', material_no=1) Model.clientModel.service.finish_modification() Model.clientModel.service.close_connection()"
I need to use custom parameters for methods of the Python High Level Library for RFEM in my Python program. How can I determine the necessary parameters?,"One possibility is to call this URL while RFEM is running: http://localhost:8082/wsdl The definition of the entire API is displayed as XML (see also WSDL https://en.wikipedia.org/wiki/Web_Services_Description_Language). A pragmatic way to determine the parameters is, for example, to first compile the desired material in RFEM and then read out the properties. The following program shows the procedure: from RFEM.initModel import * Model(True, 'Material.rf6') Model.clientModel.service.begin_modification() m = Model.clientModel.service.get_material(1) print(m) Model.clientModel.service.finish_modification() Model.clientModel.service.close_connection() This method can be used for all objects in RFEM."
How can I create a nonlinear line hinge with a Python program?,"function for nonlinear line hinges is currently not available in the Python High Level Library. Since, as usual, user-defined parameters can be used in the method for line hinges, it is not a problem to create non-linear line hinges as well. In the sample program, 2 rectangular areas with nodal supports are first created, which are connected at line 6. The definition of the non-linear line hinge starts from line 39. First, a dictionary p is created with the parameters. 3 translational degrees of freedom and one rotational degree of freedom must be defined. The value 0.0 means that the freedom count is free. If a numerical value is written instead, this is interpreted as a spring. Note that SI base units are used here. With inf the degree of freedom is defined as fixed. The y-direction should have a non-linearity. This is set with the translational_release_u_y_nonlinearity key. This article describes how necessary values such as NONLINEARITY_TYPE_FAILURE_IF_POSITIVE can be determined. from RFEM.enums import * from RFEM.initModel import * from RFEM.BasicObjects.node import Node from RFEM.BasicObjects.line import Line from RFEM.BasicObjects.material import Material from RFEM.BasicObjects .thickness import Thickness from RFEM.BasicObjects.surface import Surface from RFEM.TypesForNodes.nodalSupport import NodalSupport from RFEM.TypesForLines.lineHinge import LineHinge from RFEM.dataTypes import inf Model(True, ""Line Hinge "") Model.clientModel.service.begin_modification () Node(1, 0.0, 0.0, 0.0) Node(2, 5.0, 0.0, 0.0) Node(3, 10.0, 0.0, 0.0) Node(4, 0.0, 4.0, 0.0) Node(5, 5.0, 4.0, 0.0) Node(6, 10.0, 4.0, 0.0) Line(1, '1 2') Line(2, '2 3') Line(3, '4 5') Line(4, '5 6') Line( 5, '1 4') Line(6, '2 5') Line(7, '3 6') Material(1, 'S235') Thickness(1, material_no=1, uniform_thickness_d=0.050) Surface(1, ' 1 6 3 5') Surface(2, '2 7 4 6') NodalSupport(1, '1-3 4-6') p = { 'translational_release_u_x':0.0, 'translational_release_u_y':0.0, 'translational_release_u_y_nonlinearity':' NONLINEARITY_TYPE_FAILURE_IF_POSITIVE', 'translational_release_u_z':inf, 'rotational_release_phi_x':inf } LineHinge(1, '1/6', params=p) Model.clientModel.service.finish_modification() Model.clientModel.service.close_connection()"
How can I read the deformation at a specific node with a Python program?,"In the example program, a cantilever beam is first created from an IPE 200. This is loaded with a bar load of 3.5 kN and the calculation is carried out. In line 34 this table is accessed: The method ResultTables.NodesDeformations() takes 3 arguments. First, it is determined what kind of results are to be read out. These can be the results of * load cases * load combinations * result combinations * design situations * construction stages. Then the number of the load case, load combination, etc. is given. At the end, the node number of the method is passed. The d return value of the method is a list containing a dictionary. In line 37 d is output in full. Line 40 shows how a special value can be accessed. [0] is the list index and ['displacement_z'] is the dictionary key. from RFEM.enums import * from RFEM.initModel import * from RFEM.BasicObjects.material import Material from RFEM.BasicObjects.section import Section from RFEM.BasicObjects.node import Node from RFEM.BasicObjects.member import Member from RFEM.TypesForNodes.nodalSupport import NodalSupport from RFEM.LoadCasesAndCombinations.staticAnalysisSettings import StaticAnalysisSettings from RFEM.LoadCasesAndCombinations.loadCase import LoadCase from RFEM.Loads.memberLoad import MemberLoad from RFEM.Results.resultTables import ResultTables Model(True, ""Beam.rf6"") Model .clientModel.service.delete_all() Model.clientModel.service.begin_modification() Material(1, 'S235') Section(1, 'IPE 200') Node(1, 0.0, 0.0, 0.0) Node(2, 5.0, 0.0, 0.0) Member.Beam(1, 1, 2, start_section_no=1, end_section_no=1) NodalSupport(1, '1', NodalSupportType.FIXED) StaticAnalysisSettings.GeometricallyLinear(1, ""Linear"") LoadCase(1, 'Load ', [True, 0.0, 0.0, 1.0]) MemberLoad(1, 1, '1', magnitude=3500) Calculate_all() d = ResultTables.NodesDeformations(CaseObjectType.E_OBJECT_TYPE_LOAD_CASE, 1, 2) # all: print(d) # displacement in Z print(d[0]['displacement_z']) Model.clientModel.service.finish_modification()"
How can I create an elastic nodal support with a Python program?,"The sample program shows two different methods to create nodal supports. The enumeration type NodalSupportType is used for the first nodal support. Alternatively, a list can also be passed. The list must contain 6 values. The first three values define the translational degrees of freedom, the last three the twisting degrees of freedom. The value inf means that the degree of freedom is fixed. With 0 the degree of freedom is not fixed. A numerical value defines a spring. from RFEM.enums import * from RFEM.initModel import * from RFEM.BasicObjects.node import Node from RFEM.TypesForNodes.nodalSupport import NodalSupport from RFEM.dataTypes import inf Model(True, 'Nodal_support.rf6') Model .clientModel.service.begin_modification() Node(1, 0.0, 0.0, 0.0) Node(2, 5.0, 0.0, 0.0) NodalSupport(1, '1', NodalSupportType.HINGED) NodalSupport(2, '2', [inf , inf, inf, 0, 234000, 0]) Model.clientModel.service.finish_modification() Model.clientModel.service.close_connection()"
